country	continent	year	lifeExp
Jamaica	Americas	1977	70.11
Venezuela	Americas	1987	70.19
Honduras	Americas	2007	70.198
United States	Americas	1962	70.21
Guatemala	Americas	2007	70.259
Colombia	Americas	1997	70.313
Panama	Americas	1982	70.472
Chile	Americas	1982	70.565
Cuba	Americas	1972	70.723
El Salvador	Americas	2002	70.734
Costa Rica	Americas	1977	70.75
Paraguay	Americas	2002	70.755
United States	Americas	1967	70.76
Argentina	Americas	1987	70.774
Uruguay	Americas	1982	70.805
Nicaragua	Americas	2002	70.836
Dominican Republic	Americas	2002	70.847
Brazil	Americas	2002	71.006
Puerto Rico	Americas	1967	71.1
Venezuela	Americas	1992	71.15
Jamaica	Americas	1982	71.21
Canada	Americas	1962	71.3
United States	Americas	1972	71.34
Peru	Americas	2007	71.421
Mexico	Americas	1992	71.455
Panama	Americas	1987	71.523
Colombia	Americas	2002	71.682
Paraguay	Americas	2007	71.752
Jamaica	Americas	1992	71.766
Jamaica	Americas	1987	71.77
Argentina	Americas	1992	71.868
El Salvador	Americas	2007	71.878
Uruguay	Americas	1987	71.918
Jamaica	Americas	2002	72.047
Canada	Americas	1967	72.13
Venezuela	Americas	1997	72.146
Puerto Rico	Americas	1972	72.16
Dominican Republic	Americas	2007	72.235
Jamaica	Americas	1997	72.262
Ecuador	Americas	1997	72.312
Brazil	Americas	2007	72.39
Panama	Americas	1992	72.462
Chile	Americas	1987	72.492
Jamaica	Americas	2007	72.567
Cuba	Americas	1977	72.649
Uruguay	Americas	1992	72.752
Venezuela	Americas	2002	72.766
Canada	Americas	1972	72.88
Colombia	Americas	2007	72.889
Nicaragua	Americas	2007	72.899
Argentina	Americas	1997	73.275
United States	Americas	1977	73.38
Puerto Rico	Americas	1977	73.44
Costa Rica	Americas	1982	73.45
Mexico	Americas	1997	73.67
Cuba	Americas	1982	73.717
Panama	Americas	1997	73.738
Venezuela	Americas	2007	73.747
Puerto Rico	Americas	1982	73.75
Puerto Rico	Americas	1992	73.911
Chile	Americas	1992	74.126
Ecuador	Americas	2002	74.173
Cuba	Americas	1987	74.174
Canada	Americas	1977	74.21
Uruguay	Americas	1997	74.223
Argentina	Americas	2002	74.34
Cuba	Americas	1992	74.414
Puerto Rico	Americas	1987	74.63
United States	Americas	1982	74.65
Panama	Americas	2002	74.712
Costa Rica	Americas	1987	74.752
Mexico	Americas	2002	74.902
Puerto Rico	Americas	1997	74.917
Ecuador	Americas	2007	74.994
United States	Americas	1987	75.02
Uruguay	Americas	2002	75.307
Argentina	Americas	2007	75.32
Panama	Americas	2007	75.537
Costa Rica	Americas	1992	75.713
Canada	Americas	1982	75.76
Chile	Americas	1997	75.816
United States	Americas	1992	76.09
Cuba	Americas	1997	76.151
Mexico	Americas	2007	76.195
Uruguay	Americas	2007	76.384
United States	Americas	1997	76.81
Canada	Americas	1987	76.86
Cuba	Americas	2002	77.158
Costa Rica	Americas	1997	77.26
United States	Americas	2002	77.31
Puerto Rico	Americas	2002	77.778
Chile	Americas	2002	77.86
Canada	Americas	1992	77.95
Costa Rica	Americas	2002	78.123
United States	Americas	2007	78.242
Cuba	Americas	2007	78.273
Chile	Americas	2007	78.553
Canada	Americas	1997	78.61
Puerto Rico	Americas	2007	78.746
Costa Rica	Americas	2007	78.782
Canada	Americas	2002	79.77
Canada	Americas	2007	80.653
Afghanistan	Asia	1952	28.801
Afghanistan	Asia	1957	30.332
Cambodia	Asia	1977	31.22
Afghanistan	Asia	1962	31.997
Yemen, Rep.	Asia	1952	32.548
Yemen, Rep.	Asia	1957	33.97
Afghanistan	Asia	1967	34.02
Yemen, Rep.	Asia	1962	35.18
Afghanistan	Asia	1972	36.088
Nepal	Asia	1952	36.157
Myanmar	Asia	1952	36.319
Yemen, Rep.	Asia	1967	36.984
India	Asia	1952	37.373
Indonesia	Asia	1952	37.468
Bangladesh	Asia	1952	37.484
Oman	Asia	1952	37.578
Nepal	Asia	1957	37.686
Afghanistan	Asia	1977	38.438
Bangladesh	Asia	1957	39.348
Nepal	Asia	1962	39.393
Cambodia	Asia	1952	39.417
Yemen, Rep.	Asia	1972	39.848
Afghanistan	Asia	1982	39.854
Saudi Arabia	Asia	1952	39.875
Indonesia	Asia	1957	39.918
Oman	Asia	1957	40.08
India	Asia	1957	40.249
Cambodia	Asia	1972	40.317
Vietnam	Asia	1952	40.412
Afghanistan	Asia	1987	40.822
Bangladesh	Asia	1962	41.216
Cambodia	Asia	1957	41.366
Nepal	Asia	1967	41.472
Afghanistan	Asia	1992	41.674
Afghanistan	Asia	1997	41.763
Myanmar	Asia	1957	41.905
Afghanistan	Asia	2002	42.129
Mongolia	Asia	1952	42.244
Indonesia	Asia	1962	42.518
Saudi Arabia	Asia	1957	42.868
Vietnam	Asia	1957	42.887
Jordan	Asia	1952	43.158
West Bank and Gaza	Asia	1952	43.16
Oman	Asia	1962	43.165
Cambodia	Asia	1962	43.415
Pakistan	Asia	1952	43.436
Bangladesh	Asia	1967	43.453
India	Asia	1962	43.605
Afghanistan	Asia	2007	43.828
Nepal	Asia	1972	43.971
China	Asia	1952	44
Yemen, Rep.	Asia	1977	44.175
China	Asia	1962	44.50136
Iran	Asia	1952	44.869
Myanmar	Asia	1962	45.108
Mongolia	Asia	1957	45.248
Bangladesh	Asia	1972	45.252
Iraq	Asia	1952	45.32
Vietnam	Asia	1962	45.363
Cambodia	Asia	1967	45.415
Pakistan	Asia	1957	45.557
Jordan	Asia	1957	45.669
West Bank and Gaza	Asia	1957	45.671
Syria	Asia	1952	45.883
Saudi Arabia	Asia	1962	45.914
Indonesia	Asia	1967	45.964
Nepal	Asia	1977	46.748
Bangladesh	Asia	1977	46.923
Oman	Asia	1967	46.988
Iran	Asia	1957	47.181
India	Asia	1967	47.193
Korea, Rep.	Asia	1952	47.453
Pakistan	Asia	1962	47.67
Philippines	Asia	1952	47.752
Vietnam	Asia	1967	47.838
Jordan	Asia	1962	48.126
West Bank and Gaza	Asia	1962	48.127
Mongolia	Asia	1962	48.251
Syria	Asia	1957	48.284
Iraq	Asia	1957	48.437
Malaysia	Asia	1952	48.463
Yemen, Rep.	Asia	1982	49.113
Indonesia	Asia	1972	49.203
Iran	Asia	1962	49.325
Myanmar	Asia	1967	49.379
Nepal	Asia	1982	49.594
Pakistan	Asia	1967	49.8
Saudi Arabia	Asia	1967	49.901
Bangladesh	Asia	1982	50.009
Korea, Dem. Rep.	Asia	1952	50.056
Vietnam	Asia	1972	50.254
Syria	Asia	1962	50.305
China	Asia	1957	50.54896
India	Asia	1972	50.651
Thailand	Asia	1952	50.848
Bahrain	Asia	1952	50.939
Cambodia	Asia	1982	50.957
Mongolia	Asia	1967	51.253
Philippines	Asia	1957	51.334
Iraq	Asia	1962	51.457
Jordan	Asia	1967	51.629
West Bank and Gaza	Asia	1967	51.631
Pakistan	Asia	1972	51.929
Malaysia	Asia	1957	52.102
Oman	Asia	1972	52.143
Iran	Asia	1967	52.469
Nepal	Asia	1987	52.537
Korea, Rep.	Asia	1957	52.681
Indonesia	Asia	1977	52.702
Bangladesh	Asia	1987	52.819
Yemen, Rep.	Asia	1987	52.922
Myanmar	Asia	1972	53.07
Thailand	Asia	1957	53.63
Syria	Asia	1967	53.655
Mongolia	Asia	1972	53.754
Bahrain	Asia	1957	53.832
Saudi Arabia	Asia	1972	53.886
Cambodia	Asia	1987	53.914
Pakistan	Asia	1977	54.043
Korea, Dem. Rep.	Asia	1957	54.081
India	Asia	1977	54.208
Iraq	Asia	1967	54.459
Philippines	Asia	1962	54.757
Iran	Asia	1972	55.234
Korea, Rep.	Asia	1962	55.292
Mongolia	Asia	1977	55.491
Kuwait	Asia	1952	55.565
Yemen, Rep.	Asia	1992	55.599
Nepal	Asia	1992	55.727
Malaysia	Asia	1962	55.737
Vietnam	Asia	1977	55.764
Cambodia	Asia	1992	55.803
Lebanon	Asia	1952	55.928
Bangladesh	Asia	1992	56.018
Myanmar	Asia	1977	56.059
Thailand	Asia	1962	56.061
Pakistan	Asia	1982	56.158
Indonesia	Asia	1982	56.159
Philippines	Asia	1967	56.393
Jordan	Asia	1972	56.528
West Bank and Gaza	Asia	1972	56.532
Cambodia	Asia	1997	56.534
India	Asia	1982	56.596
Korea, Dem. Rep.	Asia	1962	56.656
Cambodia	Asia	2002	56.752
Bahrain	Asia	1962	56.923
Iraq	Asia	1972	56.95
Iraq	Asia	2002	57.046
Syria	Asia	1972	57.296
Oman	Asia	1977	57.367
Mongolia	Asia	1982	57.489
Sri Lanka	Asia	1952	57.593
Iran	Asia	1977	57.702
Korea, Rep.	Asia	1967	57.716
Yemen, Rep.	Asia	1997	58.02
Kuwait	Asia	1957	58.033
Myanmar	Asia	1982	58.056
Philippines	Asia	1972	58.065
Pakistan	Asia	1987	58.245
Thailand	Asia	1967	58.285
Myanmar	Asia	1987	58.339
China	Asia	1967	58.38112
Taiwan	Asia	1952	58.5
India	Asia	1987	58.553
Saudi Arabia	Asia	1977	58.69
Iraq	Asia	1997	58.811
Vietnam	Asia	1982	58.816
Myanmar	Asia	1992	59.32
Malaysia	Asia	1967	59.371
Bangladesh	Asia	1997	59.412
Nepal	Asia	1997	59.426
Iraq	Asia	1992	59.461
Lebanon	Asia	1957	59.489
Iraq	Asia	2007	59.545
Iran	Asia	1982	59.62
Cambodia	Asia	2007	59.723
Myanmar	Asia	2002	59.908
Bahrain	Asia	1967	59.923
Korea, Dem. Rep.	Asia	1967	59.942
Philippines	Asia	1977	60.06
Indonesia	Asia	1987	60.137
Mongolia	Asia	1987	60.222
India	Asia	1992	60.223
Yemen, Rep.	Asia	2002	60.308
Myanmar	Asia	1997	60.328
Singapore	Asia	1952	60.396
Thailand	Asia	1972	60.405
Iraq	Asia	1977	60.413
Kuwait	Asia	1962	60.47
West Bank and Gaza	Asia	1977	60.765
Pakistan	Asia	1992	60.838
Hong Kong, China	Asia	1952	60.96
Jordan	Asia	1977	61.134
Syria	Asia	1977	61.195
Mongolia	Asia	1992	61.271
Nepal	Asia	2002	61.34
Sri Lanka	Asia	1957	61.456
India	Asia	1997	61.765
Pakistan	Asia	1997	61.818
Bangladesh	Asia	2002	62.013
Iraq	Asia	1982	62.038
Myanmar	Asia	2007	62.069
Philippines	Asia	1982	62.082
Lebanon	Asia	1962	62.094
Sri Lanka	Asia	1962	62.192
Taiwan	Asia	1957	62.4
Thailand	Asia	1977	62.494
Korea, Rep.	Asia	1972	62.612
Indonesia	Asia	1992	62.681
Yemen, Rep.	Asia	2007	62.698
Oman	Asia	1982	62.728
Vietnam	Asia	1987	62.82
India	Asia	2002	62.879
Malaysia	Asia	1972	63.01
Saudi Arabia	Asia	1982	63.012
Japan	Asia	1952	63.03
Iran	Asia	1987	63.04
China	Asia	1972	63.11888
Singapore	Asia	1957	63.179
Bahrain	Asia	1972	63.3
Pakistan	Asia	2002	63.61
Mongolia	Asia	1997	63.625
Jordan	Asia	1982	63.739
Nepal	Asia	2007	63.785
Lebanon	Asia	1967	63.87
China	Asia	1977	63.96736
Korea, Dem. Rep.	Asia	1972	63.983
Bangladesh	Asia	2007	64.062
Philippines	Asia	1987	64.151
Sri Lanka	Asia	1967	64.266
West Bank and Gaza	Asia	1982	64.406
Syria	Asia	1982	64.59
Thailand	Asia	1982	64.597
Kuwait	Asia	1967	64.624
India	Asia	2007	64.698
Hong Kong, China	Asia	1957	64.75
Korea, Rep.	Asia	1977	64.766
Mongolia	Asia	2002	65.033
Sri Lanka	Asia	1972	65.042
Iraq	Asia	1987	65.044
Taiwan	Asia	1962	65.2
Malaysia	Asia	1977	65.256
Israel	Asia	1952	65.39
Lebanon	Asia	1972	65.421
Pakistan	Asia	2007	65.483
Japan	Asia	1957	65.5
China	Asia	1982	65.525
Bahrain	Asia	1977	65.593
Iran	Asia	1992	65.742
Singapore	Asia	1962	65.798
Jordan	Asia	1987	65.869
Sri Lanka	Asia	1977	65.949
Indonesia	Asia	1997	66.041
Thailand	Asia	1987	66.084
Lebanon	Asia	1977	66.099
Saudi Arabia	Asia	1987	66.295
Philippines	Asia	1992	66.458
Korea, Dem. Rep.	Asia	2002	66.662
Mongolia	Asia	2007	66.803
Syria	Asia	1987	66.974
Lebanon	Asia	1982	66.983
West Bank and Gaza	Asia	1987	67.046
Korea, Rep.	Asia	1982	67.123
Korea, Dem. Rep.	Asia	1977	67.159
China	Asia	1987	67.274
Korea, Dem. Rep.	Asia	2007	67.297
Thailand	Asia	1992	67.298
Taiwan	Asia	1967	67.5
Thailand	Asia	1997	67.521
Hong Kong, China	Asia	1962	67.65
Vietnam	Asia	1992	67.662
Kuwait	Asia	1972	67.712
Korea, Dem. Rep.	Asia	1997	67.727
Oman	Asia	1987	67.734
Israel	Asia	1957	67.84
Lebanon	Asia	1987	67.926
Singapore	Asia	1967	67.946
Malaysia	Asia	1982	68
Jordan	Asia	1992	68.015
Iran	Asia	1997	68.042
Philippines	Asia	1997	68.564
Thailand	Asia	2002	68.564
Indonesia	Asia	2002	68.588
China	Asia	1992	68.69
Japan	Asia	1962	68.73
Sri Lanka	Asia	1982	68.757
Saudi Arabia	Asia	1992	68.768
Sri Lanka	Asia	1987	69.011
Bahrain	Asia	1982	69.052
Korea, Dem. Rep.	Asia	1982	69.1
Syria	Asia	1992	69.249
Lebanon	Asia	1992	69.292
Kuwait	Asia	1977	69.343
Israel	Asia	1962	69.39
Taiwan	Asia	1972	69.39
Iran	Asia	2002	69.451
Malaysia	Asia	1987	69.5
Singapore	Asia	1972	69.521
West Bank and Gaza	Asia	1992	69.718
Jordan	Asia	1997	69.772
Korea, Rep.	Asia	1987	69.81
Korea, Dem. Rep.	Asia	1992	69.978
Hong Kong, China	Asia	1967	70
Lebanon	Asia	1997	70.265
Philippines	Asia	2002	70.303
Sri Lanka	Asia	1992	70.379
China	Asia	1997	70.426
Sri Lanka	Asia	1997	70.457
Saudi Arabia	Asia	1997	70.533
Taiwan	Asia	1977	70.59
Thailand	Asia	2007	70.616
Korea, Dem. Rep.	Asia	1987	70.647
Indonesia	Asia	2007	70.65
Vietnam	Asia	1997	70.672
Malaysia	Asia	1992	70.693
Bahrain	Asia	1987	70.75
Israel	Asia	1967	70.75
Singapore	Asia	1977	70.795
Sri Lanka	Asia	2002	70.815
Iran	Asia	2007	70.964
Lebanon	Asia	2002	71.028
West Bank and Gaza	Asia	1997	71.096
Oman	Asia	1992	71.197
Jordan	Asia	2002	71.263
Kuwait	Asia	1982	71.309
Japan	Asia	1967	71.43
Syria	Asia	1997	71.527
Saudi Arabia	Asia	2002	71.626
Israel	Asia	1972	71.63
Philippines	Asia	2007	71.688
Singapore	Asia	1982	71.76
Malaysia	Asia	1997	71.938
Lebanon	Asia	2007	71.993
Hong Kong, China	Asia	1972	72
China	Asia	2002	72.028
Taiwan	Asia	1982	72.16
Korea, Rep.	Asia	1992	72.244
West Bank and Gaza	Asia	2002	72.37
Sri Lanka	Asia	2007	72.396
Oman	Asia	1997	72.499
Jordan	Asia	2007	72.535
Bahrain	Asia	1992	72.601
Saudi Arabia	Asia	2007	72.777
China	Asia	2007	72.961
Vietnam	Asia	2002	73.017
Malaysia	Asia	2002	73.044
Syria	Asia	2002	73.053
Israel	Asia	1977	73.06
Taiwan	Asia	1987	73.4
Japan	Asia	1972	73.42
West Bank and Gaza	Asia	2007	73.422
Singapore	Asia	1987	73.56
Hong Kong, China	Asia	1977	73.6
Bahrain	Asia	1997	73.925
Syria	Asia	2007	74.143
Kuwait	Asia	1987	74.174
Oman	Asia	2002	74.193
Malaysia	Asia	2007	74.241
Vietnam	Asia	2007	74.249
Taiwan	Asia	1992	74.26
Israel	Asia	1982	74.45
Korea, Rep.	Asia	1997	74.647
Bahrain	Asia	2002	74.795
Kuwait	Asia	1992	75.19
Taiwan	Asia	1997	75.25
Japan	Asia	1977	75.38
Hong Kong, China	Asia	1982	75.45
Israel	Asia	1987	75.6
Bahrain	Asia	2007	75.635
Oman	Asia	2007	75.64
Singapore	Asia	1992	75.788
Kuwait	Asia	1997	76.156
Hong Kong, China	Asia	1987	76.2
Kuwait	Asia	2002	76.904
Israel	Asia	1992	76.93
Taiwan	Asia	2002	76.99
Korea, Rep.	Asia	2002	77.045
Japan	Asia	1982	77.11
Singapore	Asia	1997	77.158
Kuwait	Asia	2007	77.588
Hong Kong, China	Asia	1992	77.601
Israel	Asia	1997	78.269
Taiwan	Asia	2007	78.4
Korea, Rep.	Asia	2007	78.623
Japan	Asia	1987	78.67
Singapore	Asia	2002	78.77
Japan	Asia	1992	79.36
Israel	Asia	2002	79.696
Singapore	Asia	2007	79.972
Hong Kong, China	Asia	1997	80
Japan	Asia	1997	80.69
Israel	Asia	2007	80.745
Hong Kong, China	Asia	2002	81.495
Japan	Asia	2002	82
Hong Kong, China	Asia	2007	82.208
Japan	Asia	2007	82.603
Turkey	Europe	1952	43.585
Turkey	Europe	1957	48.079
Turkey	Europe	1962	52.098
Bosnia and Herzegovina	Europe	1952	53.82
Turkey	Europe	1967	54.336
Albania	Europe	1952	55.23
Turkey	Europe	1972	57.005
Serbia	Europe	1952	57.996
Bosnia and Herzegovina	Europe	1957	58.45
Montenegro	Europe	1952	59.164
Albania	Europe	1957	59.28
Turkey	Europe	1977	59.507
Bulgaria	Europe	1952	59.6
Portugal	Europe	1952	59.82
Turkey	Europe	1982	61.036
Romania	Europe	1952	61.05
Croatia	Europe	1952	61.21
Poland	Europe	1952	61.31
Montenegro	Europe	1957	61.448
Portugal	Europe	1957	61.51
Serbia	Europe	1957	61.685
Bosnia and Herzegovina	Europe	1962	61.93
Turkey	Europe	1987	63.108
Montenegro	Europe	1962	63.728
Hungary	Europe	1952	64.03
Romania	Europe	1957	64.1
Slovak Republic	Europe	1952	64.36
Portugal	Europe	1962	64.39
Serbia	Europe	1962	64.531
Croatia	Europe	1957	64.77
Bosnia and Herzegovina	Europe	1967	64.79
Albania	Europe	1962	64.82
Spain	Europe	1952	64.94
Slovenia	Europe	1952	65.57
Poland	Europe	1957	65.77
Greece	Europe	1952	65.86
Italy	Europe	1952	65.94
Turkey	Europe	1992	66.146
Albania	Europe	1967	66.22
Hungary	Europe	1957	66.41
Finland	Europe	1952	66.55
Portugal	Europe	1967	66.6
Bulgaria	Europe	1957	66.61
Spain	Europe	1957	66.66
Austria	Europe	1952	66.8
Romania	Europe	1962	66.8
Romania	Europe	1967	66.8
Czech Republic	Europe	1952	66.87
Ireland	Europe	1952	66.91
Serbia	Europe	1967	66.914
Croatia	Europe	1962	67.13
Montenegro	Europe	1967	67.178
France	Europe	1952	67.41
Bosnia and Herzegovina	Europe	1972	67.45
Slovak Republic	Europe	1957	67.45
Austria	Europe	1957	67.48
Finland	Europe	1957	67.49
Germany	Europe	1952	67.5
Poland	Europe	1962	67.64
Albania	Europe	1972	67.69
Italy	Europe	1957	67.81
Slovenia	Europe	1957	67.85
Greece	Europe	1957	67.86
Hungary	Europe	1962	67.96
Belgium	Europe	1952	68
Croatia	Europe	1967	68.5
Serbia	Europe	1972	68.7
Finland	Europe	1962	68.75
Turkey	Europe	1997	68.835
Ireland	Europe	1957	68.9
Albania	Europe	1977	68.93
France	Europe	1957	68.93
Czech Republic	Europe	1957	69.03
Germany	Europe	1957	69.1
Slovenia	Europe	1962	69.15
Hungary	Europe	1992	69.17
Slovenia	Europe	1967	69.18
United Kingdom	Europe	1952	69.18
Romania	Europe	1972	69.21
Belgium	Europe	1957	69.24
Italy	Europe	1962	69.24
Portugal	Europe	1972	69.26
Romania	Europe	1992	69.36
Hungary	Europe	1982	69.39
Romania	Europe	1977	69.46
Hungary	Europe	1967	69.5
Bulgaria	Europe	1962	69.51
Greece	Europe	1962	69.51
Romania	Europe	1987	69.53
Austria	Europe	1962	69.54
Hungary	Europe	1987	69.58
Croatia	Europe	1972	69.61
Poland	Europe	1967	69.61
Switzerland	Europe	1952	69.62
Romania	Europe	1982	69.66
Spain	Europe	1962	69.69
Romania	Europe	1997	69.72
Hungary	Europe	1972	69.76
Slovenia	Europe	1972	69.82
Finland	Europe	1967	69.83
Bosnia and Herzegovina	Europe	1977	69.86
Czech Republic	Europe	1962	69.9
Hungary	Europe	1977	69.95
Austria	Europe	1967	70.14
Serbia	Europe	1982	70.162
Belgium	Europe	1962	70.25
Czech Republic	Europe	1972	70.29
Ireland	Europe	1962	70.29
Germany	Europe	1962	70.3
Serbia	Europe	1977	70.3
Bulgaria	Europe	1997	70.32
Slovak Republic	Europe	1962	70.33
Slovak Republic	Europe	1972	70.35
Czech Republic	Europe	1967	70.38
Portugal	Europe	1977	70.41
Albania	Europe	1982	70.42
Bulgaria	Europe	1967	70.42
United Kingdom	Europe	1957	70.42
Slovak Republic	Europe	1977	70.45
Croatia	Europe	1982	70.46
France	Europe	1962	70.51
Switzerland	Europe	1957	70.56
Austria	Europe	1972	70.63
Montenegro	Europe	1972	70.636
Croatia	Europe	1977	70.64
Poland	Europe	1977	70.67
Bosnia and Herzegovina	Europe	1982	70.69
Czech Republic	Europe	1977	70.71
United Kingdom	Europe	1962	70.76
Denmark	Europe	1952	70.78
Germany	Europe	1967	70.8
Slovak Republic	Europe	1982	70.8
Bulgaria	Europe	1977	70.81
Turkey	Europe	2002	70.845
Poland	Europe	1972	70.85
Finland	Europe	1972	70.87
Bulgaria	Europe	1972	70.9
Belgium	Europe	1967	70.94
Czech Republic	Europe	1982	70.96
Slovenia	Europe	1977	70.97
Poland	Europe	1987	70.98
Slovak Republic	Europe	1967	70.98
Poland	Europe	1992	70.99
Germany	Europe	1972	71
Greece	Europe	1967	71
Hungary	Europe	1997	71.04
Italy	Europe	1967	71.06
Slovenia	Europe	1982	71.063
Bulgaria	Europe	1982	71.08
Ireland	Europe	1967	71.08
Slovak Republic	Europe	1987	71.08
Bosnia and Herzegovina	Europe	1987	71.14
Bulgaria	Europe	1992	71.19
Serbia	Europe	1987	71.218
Ireland	Europe	1972	71.28
Poland	Europe	1982	71.32
Switzerland	Europe	1962	71.32
Romania	Europe	2002	71.322
Bulgaria	Europe	1987	71.34
United Kingdom	Europe	1967	71.36
Slovak Republic	Europe	1992	71.38
Belgium	Europe	1972	71.44
Spain	Europe	1967	71.44
Croatia	Europe	1987	71.52
France	Europe	1967	71.55
Czech Republic	Europe	1987	71.58
Albania	Europe	1992	71.581
Serbia	Europe	1992	71.659
Turkey	Europe	2007	71.777
Denmark	Europe	1957	71.81
Sweden	Europe	1952	71.86
Albania	Europe	1987	72
United Kingdom	Europe	1972	72.01
Ireland	Europe	1977	72.03
Netherlands	Europe	1952	72.13
Bulgaria	Europe	2002	72.14
Austria	Europe	1977	72.17
Bosnia and Herzegovina	Europe	1992	72.178
Italy	Europe	1972	72.19
Serbia	Europe	1997	72.232
Slovenia	Europe	1987	72.25
Greece	Europe	1972	72.34
Denmark	Europe	1962	72.35
France	Europe	1972	72.38
Czech Republic	Europe	1992	72.4
Romania	Europe	2007	72.476
Iceland	Europe	1952	72.49
Sweden	Europe	1957	72.49
Germany	Europe	1977	72.5
Finland	Europe	1977	72.52
Croatia	Europe	1992	72.527
Hungary	Europe	2002	72.59
Norway	Europe	1952	72.67
Slovak Republic	Europe	1997	72.71
Poland	Europe	1997	72.75
United Kingdom	Europe	1977	72.76
Portugal	Europe	1982	72.77
Switzerland	Europe	1967	72.77
Belgium	Europe	1977	72.8
Albania	Europe	1997	72.95
Denmark	Europe	1967	72.96
Netherlands	Europe	1957	72.99
Bulgaria	Europe	2007	73.005
Spain	Europe	1972	73.06
Montenegro	Europe	1977	73.066
Ireland	Europe	1982	73.1
Austria	Europe	1982	73.18
Serbia	Europe	2002	73.213
Netherlands	Europe	1962	73.23
Bosnia and Herzegovina	Europe	1997	73.244
Hungary	Europe	2007	73.338
Sweden	Europe	1962	73.37
Norway	Europe	1957	73.44
Denmark	Europe	1972	73.47
Iceland	Europe	1957	73.47
Norway	Europe	1962	73.47
Italy	Europe	1977	73.48
Slovenia	Europe	1992	73.64
Croatia	Europe	1997	73.68
Greece	Europe	1977	73.68
Iceland	Europe	1962	73.68
Iceland	Europe	1967	73.73
Netherlands	Europe	1972	73.75
Switzerland	Europe	1972	73.78
Germany	Europe	1982	73.8
Slovak Republic	Europe	2002	73.8
Netherlands	Europe	1967	73.82
France	Europe	1977	73.83
Belgium	Europe	1982	73.93
Montenegro	Europe	2002	73.981
Serbia	Europe	2007	74.002
Czech Republic	Europe	1997	74.01
United Kingdom	Europe	1982	74.04
Portugal	Europe	1987	74.06
Norway	Europe	1967	74.08
Bosnia and Herzegovina	Europe	2002	74.09
Montenegro	Europe	1982	74.101
Sweden	Europe	1967	74.16
Norway	Europe	1972	74.34
Ireland	Europe	1987	74.36
Spain	Europe	1977	74.39
Iceland	Europe	1972	74.46
Montenegro	Europe	2007	74.543
Finland	Europe	1982	74.55
Denmark	Europe	1982	74.63
Slovak Republic	Europe	2007	74.663
Poland	Europe	2002	74.67
Denmark	Europe	1977	74.69
Sweden	Europe	1972	74.72
Denmark	Europe	1987	74.8
Finland	Europe	1987	74.83
Germany	Europe	1987	74.847
Bosnia and Herzegovina	Europe	2007	74.852
Portugal	Europe	1992	74.86
Montenegro	Europe	1987	74.865
Croatia	Europe	2002	74.876
France	Europe	1982	74.89
Austria	Europe	1987	74.94
Italy	Europe	1982	74.98
United Kingdom	Europe	1987	75.007
Slovenia	Europe	1997	75.13
Greece	Europe	1982	75.24
Netherlands	Europe	1977	75.24
Denmark	Europe	1992	75.33
Belgium	Europe	1987	75.35
Norway	Europe	1977	75.37
Switzerland	Europe	1977	75.39
Montenegro	Europe	1992	75.435
Sweden	Europe	1977	75.44
Montenegro	Europe	1997	75.445
Ireland	Europe	1992	75.467
Czech Republic	Europe	2002	75.51
Poland	Europe	2007	75.563
Albania	Europe	2002	75.651
Finland	Europe	1992	75.7
Croatia	Europe	2007	75.748
Norway	Europe	1987	75.89
Norway	Europe	1982	75.97
Portugal	Europe	1997	75.97
Austria	Europe	1992	76.04
Netherlands	Europe	1982	76.05
Germany	Europe	1992	76.07
Denmark	Europe	1997	76.11
Iceland	Europe	1977	76.11
Ireland	Europe	1997	76.122
Switzerland	Europe	1982	76.21
Spain	Europe	1982	76.3
France	Europe	1987	76.34
Italy	Europe	1987	76.42
Sweden	Europe	1982	76.42
United Kingdom	Europe	1992	76.42
Albania	Europe	2007	76.423
Belgium	Europe	1992	76.46
Czech Republic	Europe	2007	76.486
Slovenia	Europe	2002	76.66
Greece	Europe	1987	76.67
Netherlands	Europe	1987	76.83
Spain	Europe	1987	76.9
Iceland	Europe	1982	76.99
Greece	Europe	1992	77.03
Finland	Europe	1997	77.13
Denmark	Europe	2002	77.18
Sweden	Europe	1987	77.19
United Kingdom	Europe	1997	77.218
Iceland	Europe	1987	77.23
Portugal	Europe	2002	77.29
Norway	Europe	1992	77.32
Germany	Europe	1997	77.34
Switzerland	Europe	1987	77.41
Netherlands	Europe	1992	77.42
Italy	Europe	1992	77.44
France	Europe	1992	77.46
Austria	Europe	1997	77.51
Belgium	Europe	1997	77.53
Spain	Europe	1992	77.57
Ireland	Europe	2002	77.783
Greece	Europe	1997	77.869
Slovenia	Europe	2007	77.926
Netherlands	Europe	1997	78.03
Switzerland	Europe	1992	78.03
Portugal	Europe	2007	78.098
Sweden	Europe	1992	78.16
Greece	Europe	2002	78.256
Belgium	Europe	2002	78.32
Norway	Europe	1997	78.32
Denmark	Europe	2007	78.332
Finland	Europe	2002	78.37
United Kingdom	Europe	2002	78.471
Netherlands	Europe	2002	78.53
France	Europe	1997	78.64
Germany	Europe	2002	78.67
Iceland	Europe	1992	78.77
Spain	Europe	1997	78.77
Italy	Europe	1997	78.82
Ireland	Europe	2007	78.885
Iceland	Europe	1997	78.95
Austria	Europe	2002	78.98
Norway	Europe	2002	79.05
Finland	Europe	2007	79.313
Switzerland	Europe	1997	79.37
